Start Training:
Iter: 13700, Loss: 6.25716e-02, Loss_0: 1.30100e-03, Loss_b: 5.07311e-07, Loss_f: 2.62707e-04, Loss_s: 6.10073e-02
Iter: 13800, Loss: 6.25355e-02, Loss_0: 1.33707e-03, Loss_b: 5.37298e-07, Loss_f: 2.65586e-04, Loss_s: 6.09323e-02
Iter: 13900, Loss: 6.24967e-02, Loss_0: 1.37544e-03, Loss_b: 2.94572e-07, Loss_f: 2.73152e-04, Loss_s: 6.08478e-02
Iter: 14000, Loss: 6.24506e-02, Loss_0: 1.42419e-03, Loss_b: 5.49841e-07, Loss_f: 2.77621e-04, Loss_s: 6.07483e-02
Iter: 14100, Loss: 6.24111e-02, Loss_0: 1.49517e-03, Loss_b: 6.88694e-07, Loss_f: 2.78743e-04, Loss_s: 6.06365e-02
Iter: 14200, Loss: 6.23715e-02, Loss_0: 1.54504e-03, Loss_b: 1.00543e-06, Loss_f: 2.84947e-04, Loss_s: 6.05405e-02
Iter: 14300, Loss: 6.23301e-02, Loss_0: 1.60029e-03, Loss_b: 8.76560e-07, Loss_f: 2.73374e-04, Loss_s: 6.04556e-02
Iter: 14400, Loss: 6.22950e-02, Loss_0: 1.62883e-03, Loss_b: 8.41561e-07, Loss_f: 2.71874e-04, Loss_s: 6.03935e-02
Iter: 14500, Loss: 6.22640e-02, Loss_0: 1.67916e-03, Loss_b: 6.73312e-07, Loss_f: 2.72694e-04, Loss_s: 6.03115e-02
Iter: 14600, Loss: 6.22402e-02, Loss_0: 1.71076e-03, Loss_b: 4.76299e-07, Loss_f: 2.65218e-04, Loss_s: 6.02638e-02
Iter: 14700, Loss: 6.22175e-02, Loss_0: 1.74671e-03, Loss_b: 3.23582e-07, Loss_f: 2.63631e-04, Loss_s: 6.02069e-02
Iter: 14800, Loss: 6.21897e-02, Loss_0: 1.77371e-03, Loss_b: 3.11767e-07, Loss_f: 2.57206e-04, Loss_s: 6.01585e-02
Iter: 14900, Loss: 6.21654e-02, Loss_0: 1.82436e-03, Loss_b: 3.84192e-07, Loss_f: 2.52668e-04, Loss_s: 6.00880e-02
Iter: 15000, Loss: 6.21431e-02, Loss_0: 1.84614e-03, Loss_b: 3.59965e-07, Loss_f: 2.52111e-04, Loss_s: 6.00445e-02
Iter: 15100, Loss: 6.21144e-02, Loss_0: 1.87550e-03, Loss_b: 3.46168e-07, Loss_f: 2.53920e-04, Loss_s: 5.99846e-02
Iter: 15200, Loss: 6.20885e-02, Loss_0: 1.93440e-03, Loss_b: 5.83640e-07, Loss_f: 2.50390e-04, Loss_s: 5.99031e-02
Iter: 15300, Loss: 6.20705e-02, Loss_0: 1.96446e-03, Loss_b: 6.80182e-07, Loss_f: 2.52469e-04, Loss_s: 5.98529e-02
Iter: 15400, Loss: 6.20513e-02, Loss_0: 1.98590e-03, Loss_b: 3.81704e-07, Loss_f: 2.50746e-04, Loss_s: 5.98142e-02
Iter: 15500, Loss: 6.20354e-02, Loss_0: 1.98760e-03, Loss_b: 3.66796e-07, Loss_f: 2.48873e-04, Loss_s: 5.97986e-02
Iter: 15600, Loss: 6.20137e-02, Loss_0: 2.03058e-03, Loss_b: 4.63955e-07, Loss_f: 2.52159e-04, Loss_s: 5.97305e-02
Iter: 15700, Loss: 6.19950e-02, Loss_0: 2.05589e-03, Loss_b: 2.93853e-07, Loss_f: 2.54944e-04, Loss_s: 5.96839e-02
Iter: 15800, Loss: 6.19732e-02, Loss_0: 2.09732e-03, Loss_b: 5.96476e-07, Loss_f: 2.57400e-04, Loss_s: 5.96178e-02
Iter: 15900, Loss: 6.19523e-02, Loss_0: 2.13488e-03, Loss_b: 5.44367e-07, Loss_f: 2.56090e-04, Loss_s: 5.95608e-02
Iter: 16000, Loss: 6.19298e-02, Loss_0: 2.16503e-03, Loss_b: 4.51700e-07, Loss_f: 2.55743e-04, Loss_s: 5.95086e-02
Iter: 16100, Loss: 6.19113e-02, Loss_0: 2.18632e-03, Loss_b: 4.60563e-07, Loss_f: 2.58611e-04, Loss_s: 5.94659e-02
Iter: 16200, Loss: 6.18939e-02, Loss_0: 2.22807e-03, Loss_b: 9.78848e-07, Loss_f: 2.63101e-04, Loss_s: 5.94018e-02
Iter: 16300, Loss: 6.18721e-02, Loss_0: 2.22522e-03, Loss_b: 4.49037e-07, Loss_f: 2.52441e-04, Loss_s: 5.93940e-02
Iter: 16400, Loss: 6.18572e-02, Loss_0: 2.26284e-03, Loss_b: 6.87038e-07, Loss_f: 2.61042e-04, Loss_s: 5.93327e-02
Iter: 16500, Loss: 6.18317e-02, Loss_0: 2.31399e-03, Loss_b: 4.81025e-07, Loss_f: 2.57325e-04, Loss_s: 5.92599e-02
Iter: 16600, Loss: 6.18120e-02, Loss_0: 2.35534e-03, Loss_b: 3.97174e-07, Loss_f: 2.59390e-04, Loss_s: 5.91968e-02
Iter: 16700, Loss: 6.17931e-02, Loss_0: 2.38487e-03, Loss_b: 3.02109e-07, Loss_f: 2.54928e-04, Loss_s: 5.91530e-02
Iter: 16800, Loss: 6.17692e-02, Loss_0: 2.44802e-03, Loss_b: 4.38532e-07, Loss_f: 2.53710e-04, Loss_s: 5.90671e-02
Training time: 590.7887
