Start Training:
Iter: 14700, Loss: 3.54554e-05, Loss_0: 2.55634e-05, Loss_1: 1.32538e-06, Loss_b: 4.17093e-06, Loss_f: 4.39563e-06
Iter: 14800, Loss: 2.90111e-05, Loss_0: 2.49094e-05, Loss_1: 4.76574e-07, Loss_b: 1.03270e-06, Loss_f: 2.59242e-06
Iter: 14900, Loss: 2.97990e-05, Loss_0: 2.49481e-05, Loss_1: 5.89406e-07, Loss_b: 1.49434e-06, Loss_f: 2.76722e-06
Iter: 15000, Loss: 7.16214e-05, Loss_0: 3.30963e-05, Loss_1: 4.78374e-06, Loss_b: 2.42739e-05, Loss_f: 9.46740e-06
Iter: 15100, Loss: 3.60935e-05, Loss_0: 2.53376e-05, Loss_1: 9.81968e-07, Loss_b: 5.93761e-06, Loss_f: 3.83635e-06
Iter: 15200, Loss: 9.22950e-05, Loss_0: 3.09258e-05, Loss_1: 6.62475e-06, Loss_b: 4.08203e-05, Loss_f: 1.39242e-05
Iter: 15300, Loss: 3.00910e-05, Loss_0: 2.51660e-05, Loss_1: 5.83233e-07, Loss_b: 1.59359e-06, Loss_f: 2.74819e-06
Iter: 15400, Loss: 3.51091e-05, Loss_0: 2.53888e-05, Loss_1: 6.09899e-07, Loss_b: 4.84840e-06, Loss_f: 4.26205e-06
Iter: 15500, Loss: 8.32835e-05, Loss_0: 3.08453e-05, Loss_1: 5.34022e-06, Loss_b: 3.85690e-05, Loss_f: 8.52906e-06
Iter: 15600, Loss: 2.90490e-05, Loss_0: 2.49668e-05, Loss_1: 3.91976e-07, Loss_b: 1.16154e-06, Loss_f: 2.52874e-06
Iter: 15700, Loss: 2.88113e-05, Loss_0: 2.49025e-05, Loss_1: 4.02654e-07, Loss_b: 9.87045e-07, Loss_f: 2.51903e-06
Iter: 15800, Loss: 1.13923e-04, Loss_0: 7.17796e-05, Loss_1: 1.01120e-05, Loss_b: 1.68801e-05, Loss_f: 1.51516e-05
Iter: 15900, Loss: 2.87712e-05, Loss_0: 2.49023e-05, Loss_1: 4.15063e-07, Loss_b: 9.33244e-07, Loss_f: 2.52059e-06
Iter: 16000, Loss: 3.00608e-05, Loss_0: 2.52451e-05, Loss_1: 5.40097e-07, Loss_b: 1.40480e-06, Loss_f: 2.87085e-06
Iter: 16100, Loss: 3.03764e-05, Loss_0: 2.54659e-05, Loss_1: 5.91724e-07, Loss_b: 1.59705e-06, Loss_f: 2.72181e-06
Iter: 16200, Loss: 3.06886e-05, Loss_0: 2.50190e-05, Loss_1: 4.26997e-07, Loss_b: 1.15905e-06, Loss_f: 4.08354e-06
Iter: 16300, Loss: 3.19067e-05, Loss_0: 2.52898e-05, Loss_1: 5.94399e-07, Loss_b: 2.78507e-06, Loss_f: 3.23748e-06
Iter: 16400, Loss: 2.86976e-05, Loss_0: 2.49071e-05, Loss_1: 3.86168e-07, Loss_b: 9.45459e-07, Loss_f: 2.45889e-06
Iter: 16500, Loss: 2.89353e-05, Loss_0: 2.49765e-05, Loss_1: 4.02993e-07, Loss_b: 1.10924e-06, Loss_f: 2.44649e-06
Iter: 16600, Loss: 7.25423e-05, Loss_0: 2.87658e-05, Loss_1: 7.89480e-06, Loss_b: 2.34758e-05, Loss_f: 1.24059e-05
Iter: 16700, Loss: 4.31787e-05, Loss_0: 2.60138e-05, Loss_1: 1.71803e-06, Loss_b: 6.90127e-06, Loss_f: 8.54556e-06
Iter: 16800, Loss: 2.68504e-04, Loss_0: 7.08285e-05, Loss_1: 1.90121e-05, Loss_b: 1.38723e-04, Loss_f: 3.99398e-05
Iter: 16900, Loss: 2.88889e-05, Loss_0: 2.49247e-05, Loss_1: 4.11949e-07, Loss_b: 1.06346e-06, Loss_f: 2.48877e-06
